régionCNC,N° auto,nom,région administrative,adresse,code INSEE,commune,population de la commune,DEP,N°UU,unité urbaine,population unité urbaine,situation géographique,écrans,fauteuils,semaines d'activité,séances,entrées 2022,entrées 2021,évolution entrées,tranche d'entrées,programmateur,AE,catégorie Art et Essai,label Art et Essai,genre,multiplexe,zone de la commune,nombre de films programmés,nombre de films inédits,nombre de films en semaine 1,PdM en entrées des films français,PdM en entrées des films américains,PdM en entrées des films européens,PdM en entrées des autres films,films Art et Essai,PdM en entrées des films Art et Essai,latitude,longitude,geolocalisation
1,741,LUXEMBOURG,ILE-DE-FRANCE,67 69 RUE MONSIEUR LE PRINCE,75106,Paris 6e Arrondissement,40452,75,851,Paris,10949158,01-Paris,3,334,53,5074,66508,43660,52.33165369,De 50 à 80 000 entrées,,,A,RDJPPR,FIXE,,C,284,121,35,66.44461243,6.560836562,13.71539261,13.2791584,229,79.38045293,48.84824,2.340797,"48.84824, 2.340797"
1,802,UGC ROTONDE,ILE-DE-FRANCE,103 BD DU MONTPARNASSE,75106,Paris 6e Arrondissement,40452,75,851,Paris,10949158,01-Paris,3,467,53,4649,75597,40081,88.61056361,De 50 à 80 000 entrées,UGC,,NON,,FIXE,,C,92,53,49,74.90376602,2.742172308,17.56286625,4.791195418,81,90.08955382,48.842318,2.328975,"48.842318, 2.328975"
1,2982,CAUMARTIN,ILE-DE-FRANCE,101 RUE ST LAZARE,75109,Paris 9e Arrondissement,60784,75,851,Paris,10949158,01-Paris,5,501,53,9058,175085,95909,82.5532536,De 150 à 200 000 entrées,,,A,,FIXE,,C,130,110,108,73.22084185,7.467738887,11.91584904,7.395570218,116,92.6932087,48.87561,2.32791,"48.87561, 2.32791"
1,3211,LE CINEMA DES CINEASTES,ILE-DE-FRANCE,7 AVENUE DE CLICHY,75117,Paris 17e Arrondissement,167765,75,851,Paris,10949158,01-Paris,3,478,53,5127,132964,76311,74.23962469,De 100 à 150 000 entrées,,,A,RDJP,FIXE,,C,170,77,62,73.90702213,5.183185924,7.577665166,13.33212678,152,96.25995405,48.884303,2.326888,"48.884303, 2.326888"
1,3222,PATHE WEPLER,ILE-DE-FRANCE,132 -140 BOULEVARD DE CLICHY,75118,Paris 18e Arrondissement,191911,75,851,Paris,10949158,01-Paris,11,1757,53,23490,625295,424464,47.31402428,De 450 à 700 000 entrées,PATHE-GAUMONT,,NON,,FIXE,,C,303,251,199,43.34026837,38.51654732,13.88362041,4.259563899,134,23.14721631,48.883938,2.328034,"48.883938, 2.328034"
1,6611,UGC CINE CITE BERCY,ILE-DE-FRANCE,2 COUR SAINT-EMILION,75112,Paris 12e Arrondissement,141275,75,851,Paris,10949158,01-Paris,18,4480,53,37654,964163,681518,41.47285912,De 700 000 à 1 million d'entrées,UGC,,NON,,FIXE,,C,369,280,280,34.53115217,44.62276456,15.24283316,5.603250118,184,21.39681853,48.833595,2.38604,"48.833595, 2.38604"
1,7491,GAUMONT AQUABOULEVARD,ILE-DE-FRANCE,8/16 RUE DU COLONEL PIERRE AVIA,75115,Paris 15e Arrondissement,231186,75,851,Paris,10949158,01-Paris,14,2583,53,26779,378789,73673,414.1490098,De 300 à 450 000 entrées,PATHE-GAUMONT,,NON,,FIXE,,C,314,255,207,24.87001365,54.90469438,14.95413965,5.271152324,103,4.806175613,48.830408,2.276322,"48.830408, 2.276322"
1,7711,GAUMONT MONTPARNOS,ILE-DE-FRANCE,16 18 RUE D ODESSA,75114,Paris 14e Arrondissement,134926,75,851,Paris,10949158,01-Paris,4,397,53,7890,144713,84252,71.76209467,De 100 à 150 000 entrées,PATHE-GAUMONT,,NON,,FIXE,,C,192,170,72,59.93912562,21.16768124,10.54095185,8.352241284,99,48.05340343,48.841914,2.324596,"48.841914, 2.324596"
1,8451,STUDIO DES URSULINES,ILE-DE-FRANCE,10 RUE DES URSULINES,75105,Paris 5e Arrondissement,58050,75,851,Paris,10949158,01-Paris,1,122,41,969,26628,14363,85.39302374,De 20 à 30 000 entrées,,,A,JPPR,FIXE,,C,108,13,8,51.62347334,15.06106643,24.90914507,8.406315162,96,90.02680965,48.842733,2.342044,"48.842733, 2.342044"
1,8513,REFLET MEDICIS 2,ILE-DE-FRANCE,7 RUE CHAMPOLLION,75105,Paris 5e Arrondissement,58050,75,851,Paris,10949158,01-Paris,3,339,53,5400,91053,48873,86.30532196,De 80 à 100 000 entrées,,,A,RDPR,FIXE,,C,302,63,37,45.32869244,6.430792106,29.52825088,18.71226458,215,83.57551591,48.849591,2.342836,"48.849591, 2.342836"
1,8632,UGC  GOBELINS,ILE-DE-FRANCE,66 BIS AV DES GOBELINS,75113,Paris 13e Arrondissement,179013,75,851,Paris,10949158,01-Paris,11,1169,53,22766,358558,224585,59.65358328,De 300 à 450 000 entrées,UGC,,NON,,FIXE,,C,348,233,201,55.91946241,25.21066001,11.90522817,6.964649404,208,47.62706743,48.832888,2.354241,"48.832888, 2.354241"
1,9900,MK2 QUAI DE LOIRE,ILE-DE-FRANCE,5/19 QUAI DE LA LOIRE,75119,Paris 19e Arrondissement,184156,75,851,Paris,10949158,01-Paris,6,1108,53,11507,326491,239081,36.56083085,De 300 à 450 000 entrées,MK2,,NON,,FIXE,,C,206,143,85,43.64624791,37.50835536,14.23323869,4.612158044,124,44.45633444,48.885067,2.374123,"48.885067, 2.374123"
2,14693,! POC ! SCENE ARTISTIQUE ALFORTVILLE,ILE-DE-FRANCE,82 RUE MARCEL BOURDARIAS,94002,Alfortville,45317,94,851,Paris,10949158,02-Petite Couronne,1,410,38,87,8175,3332,145.3481393,De 5 à 10 000 entrées,,,NON,,FIXE,,B,79,65,0,67.47566983,28.01874324,4.157154872,0.348432056,47,38.68797309,48.807586,2.422346,"48.807586, 2.422346"
2,26662,L ALCAZAR,ILE-DE-FRANCE,1 RUE DE LA STATION,92004,Asnières-sur-Seine,88672,92,851,Paris,10949158,02-Petite Couronne,4,646,53,8149,141854,86580,63.84153384,De 100 à 150 000 entrées,,,C,JPPR,FIXE,,B,230,138,115,47.73264955,34.2424287,12.56741069,5.457511058,154,39.944602,48.906327,2.284046,"48.906327, 2.284046"
